"Site";"bdz";"ch1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"theme";"ges";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"frequence";"infra-journalier";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"date de debut";"28/07/2016";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"date de fin";"29/10/2019";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"commentaire";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"date";"time";"GPP";"ER";"NEE";"WTD";"TS_1_1_1";"TS_1_2_1";"TS_1_3_1";"TS_1_4_1";"TS_1_5_1";"TS_1_6_1";"TS_1_7_1";"TS_1_8_1";"TS_1_9_1";"TS_1_10_1";"TS_1_11_1";"TS_1_12_1";"TS_1_13_1";"TS_1_14_1"
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28/07/2016";"13:21";"16.277802108";"9.992188509";"-6.285613599";"0.22";"24.3";"19.3";"17.6";"17.1";"16.7";"16.1";"15.4";"14.7";"13.8";"12.8";"11.9";"11.3";"11";"10.7"
"13/06/2017";"11:07";"22.72308837";"10.3208178";"-12.40227057";"0.18";"-9999";"-9999";"-9999";"-9999";"-9999";"-9999";"-9999";"-9999";"-9999";"-9999";"-9999";"-9999";"-9999";"-9999"
"28/05/2018";"12:35";"12.4737946520181";"6.06864329244608";"-6.405151359572";"0.07";"8.2";"7.6";"7.4";"6.9";"6.3";"5.7";"4.9";"4";"3";"2";"1.1";"0.5";"0.2";"0"
"27/06/2018";"11:37";"19.620268472407";"13.6400302367454";"-5.9802382356616";"0.29";"-9999";"-9999";"-9999";"-9999";"-9999";"-9999";"-9999";"-9999";"-9999";"-9999";"-9999";"-9999";"-9999";"-9999"
"06/07/2018";"10:49";"13.9468205165015";"7.23913643506851";"-6.70768408143302";"0.11";"-9999";"-9999";"-9999";"-9999";"-9999";"-9999";"-9999";"-9999";"-9999";"-9999";"-9999";"-9999";"-9999";"-9999"
"05/09/2018";"10:33";"6.77578397901904";"5.2098099117164";"-1.56597406730264";"0.06";"14.6";"14.9";"15";"15.5";"15.3";"15";"14.8";"14.3";"13.6";"13.2";"12.7";"-9999";"-9999";"-9999"
"07/11/2018";"11:50";"2.20011058299542";"1.81065017410426";"-0.389460408891156";"0.06";"-9999";"-9999";"-9999";"-9999";"-9999";"-9999";"-9999";"-9999";"-9999";"-9999";"-9999";"-9999";"-9999";"-9999"
"03/12/2018";"14:15";"0.340590858014783";"1.07526330802492";"0.734672450010141";"0.225";"0.8";"1.2";"1.7";"2.2";"2.3";"2.8";"3.2";"3.7";"4.4";"5";"5.5";"6.1";"6.4";"6.8"
"19/06/2019";"12:28";"22.1311403036833";"13.1214047785443";"-9.00973552513903";"0.11";"25.4";"17.9";"15.2";"14.4";"13.5";"12.9";"12.1";"-9999";"-9999";"-9999";"-9999";"-9999";"-9999";"-9999"
"26/06/2019";"12:26";"17.3484360561472";"13.7914444607444";"-3.55699159540289";"0.28";"32.5";"19.9";"18";"17";"16";"15.2";"14.2";"-9999";"-9999";"-9999";"-9999";"-9999";"-9999";"-9999"
"23/07/2019";"14:40";"16.6181104399372";"11.381895737458";"-5.23621470247924";"0.78";"27.5";"22.8";"19.8";"18.4";"17.8";"17.1";"16.3";"-9999";"-9999";"-9999";"-9999";"-9999";"-9999";"-9999"
"08/10/2019";"11:05";"2.32856379541389";"3.04581402444096";"0.717250229027073";"0.25";"11";"10.9";"11.3";"11.5";"11.5";"11.5";"11.5";"-9999";"-9999";"-9999";"-9999";"-9999";"-9999";"-9999"
"29/10/2019";"11:02";"1.87908338636535";"2.55612534831745";"0.677041961952101";"0.235";"8";"7.3";"7.4";"7.6";"7.8";"7.9";"8.1";"-9999";"-9999";"-9999";"-9999";"-9999";"-9999";"-9999"
