code de l'instrument;doi de la référence
HFP01SC;https://www.hukseflux.com/sites/default/files/product_manual/HFP01SC_manual_v1624.pdf
CNR4;http://www.kippzonen.fr/Download/354/Manual-CNR-4-Net-Radiometer-English
ARG100;https://s.campbellsci.com/documents/es/manuals/arg100.pdf
CS100;https://www.vaisala.com/sites/default/files/documents/PTU300%20User%27s%20Guide%20in%20English%20M210796EN.pdf
SKP215;https://s.campbellsci.com/documents/fr/manuals/skp_215.pdf
HMP155A;https://s.campbellsci.com/documents/sp/manuals/hmp155a.pdf
CS650;https://s.campbellsci.com/documents/cn/manuals/cs650.pdf
109;https://s.campbellsci.com/documents/cn/manuals/109.pdf
WindSonic;http://gillinstruments.com/data/manuals/WindSonic-Web-Manual.pdf
CS451;https://s.campbellsci.com/documents/fr/manuals/cs451_456.pdf
Orpheus_mini;https://www.ott.com/products/water-level-1/ott-orpheus-mini-water-level-logger-3/
CS215;https://s.campbellsci.com/documents/fr/manuals/cs215.pdf
05103;http://www.youngusa.com/Manuals/05103-90(M).pdf
SP-LITE;https://s.campbellsci.com/documents/fr/product-brochures/b_sp-lite.pdf
Orpheus mini;https://www.ott.com/products/water-level-1/ott-orpheus-mini-water-level-logger-3/
HMP45C;https://s.campbellsci.com/documents/af/manuals/hmp45c.pdf
05103;https://s.campbellsci.com/documents/fr/manuals/05103_wind_monitors.pdf
CNR1;https://s.campbellsci.com/documents/us/manuals/cnr1.pdf
LI-7700;https://www.licor.com/documents/k8b90wiwdhietarx04qd
HS-50;http://gillinstruments.com/data/manuals/1199-PS-0035%20HS50%20and%20HS100%20Manual%20Issue%201%2011042017.pdf
LI-7200/RS;https://www.catec.nl/uploads/pdf/Li-7200-manual_632.pdf
LI-7200;https://www.licor.com/env/mobile/LI-7200.html
GMP343;https://www.vaisala.com/sites/default/files/documents/GMP343%20User%27s%20Guide%20in%20English%20M210514EN.pdf
