Nom du Site-Thème-Type de données-Variable;Code_jeu;Code de la méthode de calcul;Date de début;Date de fin
bdz/bm1-meteosol-meteosol_infraj-PA_1_1_1;bdz-meteosol-meteosol;bdz_integration_meteosol;25/07/2019;
bdz/bm1-meteosol-meteosol_infraj-P_1_1_1;bdz-meteosol-meteosol;bdz_integration_meteosol;25/07/2019;
bdz/bm1-meteosol-meteosol_infraj-TA_1_1_1;bdz-meteosol-meteosol;bdz_integration_meteosol;25/07/2019;
bdz/bm1-meteosol-meteosol_infraj-RH_1_1_1;bdz-meteosol-meteosol;bdz_integration_meteosol;25/07/2019;
bdz/bm1-meteosol-meteosol_infraj-WS_1_1_1;bdz-meteosol-meteosol;bdz_integration_meteosol;25/07/2019;
bdz/bm1-meteosol-meteosol_infraj-WD_1_1_1;bdz-meteosol-meteosol;bdz_integration_meteosol;25/07/2019;
bdz/bm1-meteosol-meteosol_infraj-SW_IN_1_1_1;bdz-meteosol-meteosol;bdz_integration_meteosol;25/07/2019;
bdz/bm1-meteosol-meteosol_infraj-SW_OUT_1_1_1;bdz-meteosol-meteosol;bdz_integration_meteosol;25/07/2019;
bdz/bm1-meteosol-meteosol_infraj-LW_IN_1_1_1;bdz-meteosol-meteosol;bdz_integration_meteosol;25/07/2019;
bdz/bm1-meteosol-meteosol_infraj-LW_OUT_1_1_1;bdz-meteosol-meteosol;bdz_integration_meteosol;25/07/2019;
lgt/bm1-meteosol-meteosol_infraj-SW_IN_1_1_1;lgt-meteosol-meteosol;lgt_control_meteosol;10/12/2010;03/02/2016
lgt/bm1-meteosol-meteosol_infraj-SWC_1_1_1;lgt-meteosol-meteosol;lgt_control_meteosol;03/02/2016;
lgt/bm1-meteosol-meteosol_infraj-SWC_1_2_1;lgt-meteosol-meteosol;lgt_control_meteosol;03/02/2016;
lgt/bm1-meteosol-meteosol_infraj-SWC_1_3_1;lgt-meteosol-meteosol;lgt_control_meteosol;03/02/2016;
lgt/bm1-meteosol-meteosol_infraj-SWC_1_1_2;lgt-meteosol-meteosol;lgt_control_meteosol;03/02/2016;
lgt/bm1-meteosol-meteosol_infraj-TA_1_1_1;lgt-meteosol-meteosol;lgt_control_meteosol;10/12/2010;
lgt/bm1-meteosol-meteosol_infraj-TS_1_1_1;lgt-meteosol-meteosol;lgt_control_meteosol;03/02/2016;
lgt/bm1-meteosol-meteosol_infraj-TS_1_1_2;lgt-meteosol-meteosol;lgt_control_meteosol;03/02/2016;
lgt/bm1-meteosol-meteosol_infraj-TS_1_2_1;lgt-meteosol-meteosol;lgt_control_meteosol;03/02/2016;
lgt/bm1-meteosol-meteosol_infraj-TS_1_2_2;lgt-meteosol-meteosol;lgt_control_meteosol;03/02/2016;
lgt/bm1-meteosol-meteosol_infraj-TS_1_3_1;lgt-meteosol-meteosol;lgt_control_meteosol;03/02/2016;
lgt/bm1-meteosol-meteosol_infraj-TS_1_3_2;lgt-meteosol-meteosol;lgt_control_meteosol;03/02/2016;
lgt/bm1-meteosol-meteosol_infraj-TS_1_4_1;lgt-meteosol-meteosol;lgt_control_meteosol;03/02/2016;
lgt/bm1-meteosol-meteosol_infraj-TS_1_5_1;lgt-meteosol-meteosol;lgt_control_meteosol;03/02/2016;
lgt/bm1-meteosol-meteosol_infraj-G_1_1_1;lgt-meteosol-meteosol;lgt_control_meteosol;03/02/2016;
lgt/bm1-meteosol-meteosol_infraj-G_1_1_2;lgt-meteosol-meteosol;lgt_control_meteosol;03/02/2016;
lgt/bm1-meteosol-meteosol_infraj-RH_1_1_1;lgt-meteosol-meteosol;lgt_control_meteosol;10/12/2010;
lgt/bm1-meteosol-meteosol_infraj-WD_1_1_1;lgt-meteosol-meteosol;lgt_control_meteosol;10/12/2010;
lgt/bm1-meteosol-meteosol_infraj-WS_1_1_1;lgt-meteosol-meteosol;lgt_control_meteosol;10/12/2010;
lgt/bm1-meteosol-meteosol_infraj-P_1_1_1;lgt-meteosol-meteosol;lgt_control_meteosol;10/12/2010;
lgt/bm1-meteosol-meteosol_infraj-PA_1_1_1;lgt-meteosol-meteosol;lgt_control_meteosol;10/12/2010;
lgt/bm1-meteosol-meteosol_infraj-PPFD_IN_1_1_1;lgt-meteosol-meteosol;lgt_control_meteosol;03/02/2016;
lgt/bm2-meteosol-meteosol_infraj-TS_2_1_1;lgt-meteosol-meteosol;lgt_control_meteosol;30/09/2017;
lgt/bm2-meteosol-meteosol_infraj-TS_2_1_2;lgt-meteosol-meteosol;lgt_control_meteosol;30/09/2017;
lgt/bm2-meteosol-meteosol_infraj-TS_2_2_1;lgt-meteosol-meteosol;lgt_control_meteosol;30/09/2017;
lgt/bm2-meteosol-meteosol_infraj-TS_2_2_2;lgt-meteosol-meteosol;lgt_control_meteosol;30/09/2017;
lgt/bm2-meteosol-meteosol_infraj-TS_2_3_1;lgt-meteosol-meteosol;lgt_control_meteosol;30/09/2017;
lgt/bm2-meteosol-meteosol_infraj-TS_2_4_1;lgt-meteosol-meteosol;lgt_control_meteosol;30/09/2017;
lgt/bm2-meteosol-meteosol_infraj-TS_2_5_1;lgt-meteosol-meteosol;lgt_control_meteosol;30/09/2017;
lgt/bm2-meteosol-meteosol_infraj-TS_2_6_1;lgt-meteosol-meteosol;lgt_control_meteosol;30/09/2017;
lgt/bm2-meteosol-meteosol_infraj-SW_IN_1_1_1;lgt-meteosol-meteosol;lgt_control_meteosol;30/09/2017;
lgt/bm2-meteosol-meteosol_infraj-SW_OUT_1_1_1;lgt-meteosol-meteosol;lgt_control_meteosol;30/09/2017;
lgt/bm2-meteosol-meteosol_infraj-LW_IN_1_1_1;lgt-meteosol-meteosol;lgt_control_meteosol;30/09/2017;
