Nom du Site-Thème-Type de données-Variable;Code_jeu;Code de l'instrument;Date de début;Date de fin
lgt/bm2-meteosol-meteosol_infraj-TS_2_1_1;lgt-meteosol-meteosol;109;30/09/2017;
lgt/bm2-meteosol-meteosol_infraj-TS_2_1_2;lgt-meteosol-meteosol;109;30/09/2017;
lgt/bm2-meteosol-meteosol_infraj-TS_2_2_1;lgt-meteosol-meteosol;109;30/09/2017;
lgt/bm2-meteosol-meteosol_infraj-TS_2_2_2;lgt-meteosol-meteosol;109;30/09/2017;
lgt/bm2-meteosol-meteosol_infraj-TS_2_3_1;lgt-meteosol-meteosol;109;30/09/2017;
lgt/bm2-meteosol-meteosol_infraj-TS_2_4_1;lgt-meteosol-meteosol;109;30/09/2017;
lgt/bm2-meteosol-meteosol_infraj-TS_2_5_1;lgt-meteosol-meteosol;109;30/09/2017;
lgt/bm2-meteosol-meteosol_infraj-TS_2_6_1;lgt-meteosol-meteosol;109;30/09/2017;
lgt/bm2-meteosol-meteosol_infraj-SWC_2_1_1;lgt-meteosol-meteosol;CS650;30/09/2017;
lgt/bm2-meteosol-meteosol_infraj-SWC_2_1_2;lgt-meteosol-meteosol;CS650;30/09/2017;
lgt/bm2-meteosol-meteosol_infraj-SWC_2_2_1;lgt-meteosol-meteosol;CS650;30/09/2017;
lgt/bm2-meteosol-meteosol_infraj-SWC_2_3_1;lgt-meteosol-meteosol;CS650;30/09/2017;
lgt/bm2-meteosol-meteosol_infraj-G_2_1_1;lgt-meteosol-meteosol;HFP01SC;30/09/2017;
lgt/bm2-meteosol-meteosol_infraj-G_2_1_2;lgt-meteosol-meteosol;HFP01SC;30/09/2017;
frn/pz_plot9-hydrocarto-piezo_infraj-WTD;frn-hydrocarto-piezo;Orpheus mini;01/01/2009;
frn/bm2-meteosol-meteosol_infraj-SWC_2_1_1;frn-meteosol-meteosol;CS650;13/04/2019;
frn/bm2-meteosol-meteosol_infraj-SWC_2_2_1;frn-meteosol-meteosol;CS650;13/04/2019;
frn/bm2-meteosol-meteosol_infraj-SWC_2_3_1;frn-meteosol-meteosol;CS650;13/04/2019;
frn/bm2-meteosol-meteosol_infraj-SWC_2_1_2;frn-meteosol-meteosol;CS650;13/04/2019;
frn/bm2-meteosol-meteosol_infraj-TS_2_1_1;frn-meteosol-meteosol;109;13/04/2019;
frn/bm2-meteosol-meteosol_infraj-TS_2_1_2;frn-meteosol-meteosol;109;13/04/2019;
frn/bm2-meteosol-meteosol_infraj-TS_2_2_1;frn-meteosol-meteosol;109;13/04/2019;
frn/bm2-meteosol-meteosol_infraj-TS_2_2_2;frn-meteosol-meteosol;109;13/04/2019;
frn/bm2-meteosol-meteosol_infraj-TS_2_3_1;frn-meteosol-meteosol;109;13/04/2019;
frn/bm2-meteosol-meteosol_infraj-TS_2_5_1;frn-meteosol-meteosol;109;13/04/2019;
frn/bm2-meteosol-meteosol_infraj-G_2_1_1;frn-meteosol-meteosol;HFP01SC;13/04/2019;
frn/bm2-meteosol-meteosol_infraj-G_2_1_2;frn-meteosol-meteosol;HFP01SC;13/04/2019;
frn/bm2-meteosol-meteosol_infraj-SW_IN_1_1_1;frn-meteosol-meteosol;CNR4;13/04/2019;
frn/bm2-meteosol-meteosol_infraj-SW_OUT_1_1_1;frn-meteosol-meteosol;CNR4;13/04/2019;
frn/bm2-meteosol-meteosol_infraj-LW_IN_1_1_1;frn-meteosol-meteosol;CNR4;13/04/2019;
lgt/pz_cbdv_amont-hydrocarto-piezo_infraj-WTD;lgt-hydrocarto-piezo;Orpheus mini;06/11/2008;
lgt/pz_cbdv_aval-hydrocarto-piezo_infraj-WTD;lgt-hydrocarto-piezo;Orpheus mini;06/11/2008;
lgt/pz_do-hydrocarto-piezo_infraj-WTD;lgt-hydrocarto-piezo;Orpheus mini;06/11/2008;
lgt/pz_dc-hydrocarto-piezo_infraj-WTD;lgt-hydrocarto-piezo;Orpheus mini;06/11/2008;
lgt/pz_wc-hydrocarto-piezo_infraj-WTD;lgt-hydrocarto-piezo;Orpheus mini;06/11/2008;
lgt/pz_wo-hydrocarto-piezo_infraj-WTD;lgt-hydrocarto-piezo;Orpheus mini;06/11/2008;
bdz/pz1-hydrocarto-piezo_infraj-WTD;bdz-hydrocarto-piezo;Orpheus mini;09/11/2012;
