type de site;nom_key;nom_fr;nom_en;description_fr;description_en;date début;date fin;coordonnees_bbox;surface;altitude;climat;geologie;dir_vent_fr;dir_vent_en;pays_fr;pays_en;parent
Site;bdz;Bernadouze;Bernadouze;Tourbière de Bernadouze;Bernadouze peatland;17/10/2016;;[[[1.4218127277,42.8015178306],[1.4257394817,42.8015178306],[1.4257394817,42.8036432001],[1.4218127277,42.8036432001],[1.4218127277,42.8015178306]]];3.3;1500;Mountain climate;Quartenary soils;;;France;France;
Site;frn;Frasne;Frasne;Tourbière de Frasne;Frasne peatland;18/10/2016;;[[[6.1568989203,46.8210275397],[6.1805881903,46.8210275397],[6.1805881903,46.8339470673],[6.1568989203,46.8339470673],[6.1568989203,46.8210275397]]];192;852;Mountain climate;Quartenary soils;;;France;France;
Site;lgt;La Guette;La Guette;Tourbière de la Guette;La Guette peatland;19/10/2016;;[[[2.2771479533,47.3203344471],[2.2923829005,47.3203344471],[2.2923829005,47.3266761792],[2.2771479533,47.3266761792],[2.2771479533,47.3203344471]]];23;152;Continental climate;Quartenary soils;;;France;France;
Site;ldm;Landemarais;Landemarais;Tourbières de Landemarais;Landemarais peatland;20/10/2016;;[[[-1.193630512,48.4392056957],[-1.1813138082,48.4392056957],[-1.1813138082,48.4447856377],[-1.193630512,48.4447856377],[-1.193630512,48.4392056957]]];26;;Oceanic climate;Quartenary soils;;;France;France;
Station;ec1;Station eddy-covariance 1;Eddy-covariance station 1;Station eddy-covariance;Eddy-covariance station;22/10/2016;;[6.17297074969879,46.8269518041031];;852;Mountain climate;Quartenary soils;;;France;France;frn
Station;ec1;Station eddy-covariance 1;Eddy-covariance station 1;Station eddy-covariance;Eddy-covariance station;22/10/2016;;[2.284199353400000,47.322942792200003];;152;Continental climate;Quartenary soils;;;France;France;lgt
Station;ec1;Station eddy-covariance 1;Eddy-covariance station 1;Station eddy-covariance;Eddy-covariance station;22/10/2016;;[-1.1861366667,48.442];;;Oceanic climate;Quartenary soils;;;France;France;ldm
Station;bm1;Station météo-sol 1;Biological meteorological station 1;Station météosol n°1 : mesures de physiques du sol et de météorologie;Biological meteorological station 1;21/10/2016;;[1.418299,42.803965];;1500;Mountain climate;Quartenary soils;;;France;France;bdz
Station;bm1;Station météo-sol 1;Biological meteorological station 1;Station météosol n°1 : mesures de physiques du sol et de météorologie;Biological meteorological station 1;21/10/2016;;[6.17249028194591,46.8261416206393];;152;Continental climate;Quartenary soils;;;France;France;frn
Station;bm1;Station météo-sol 1;Biological meteorological station 1;Station météosol n°1 : mesures de physiques du sol et de météorologie;Biological meteorological station 1;21/10/2016;;[2.2833251953,47.322875976600002];;152;Continental climate;Quartenary soils;;;France;France;lgt
Station;bm1;Station météo-sol 1;Biological meteorological station 1;Station météosol n°1 : mesures de physiques du sol et de météorologie;Biological meteorological station 1;21/10/2016;;[-1.184125,48.4410947];;;Oceanic climate;Quartenary soils;;;France;France;ldm
Station;bm2;Station météo-sol 2;Biological meteorological station 2;Station météosol n°2 : mesures de physiques du sol et du rayonnement;Biological meteorological station 2;21/10/2016;;[2.283871,47.322963];;152;Continental climate;Quartenary soils;;;France;France;lgt
Station;pz_cbdv_amont;Carbiodiv AMONT ;Carbiodiv AMONT ;Piézomètre de la station CARBIODIV amont;Piezometer of CARBIODIV station upstream;12/03/2014;;[2.289852956600000,47.325219552400000];23;152;Continental climate;Quartenary soils;;;France;France;lgt
Station;pz_do;DO;DO;Piézomètre DO;Piezometer DO;06/11/2008;;[2.287973227800000,47.324264630599998];23;152;Continental climate;Quartenary soils;;;France;France;lgt
Station;pz_dc;DC;DC;Piézomètre DC;Piezometer DC;15/06/2008;;[2.288149422200000,47.324201602800002];23;152;Continental climate;Quartenary soils;;;France;France;lgt
Station;pz_wc;WC;WC;Piézomètre WC;Piezometer WC;15/06/2008;;[2.281233783300000,47.321724447199998];23;152;Continental climate;Quartenary soils;;;France;France;lgt
Station;pz_wo;WO;WO;Piézomètre WO;Piezometer WO;19/11/2008;;[2.280002800000000,47.321719202799997];23;152;Continental climate;Quartenary soils;;;France;France;lgt
Station;pz_cbdv_aval;Carbiodiv AVAL;Carbiodiv AVAL;Piézomètre de la station CARBIODIV aval;Piezometer of CARBIODIV station downstream;11/03/2014;;[2.278364985700000,47.321215772099997];23;152;Continental climate;Quartenary soils;;;France;France;lgt
