code_themedonnees;code_typedonnees;sous_typedonnees;code_etape;nom_etape;description;code_frequence;frequence;duree;code_typefichier;extension;stockage
ges;eddycovariance;;1;1_Collecte;Stockage des données brutes provenant des stations eddy-covariance LICOR;;1/0.05secondes;24h;LICOR_eddycovariance;ghg;[code_site]/[code_station]/eddycovariance/1_BRUTE_eddycovariance/
ges;eddycovariance;eddycovariance_sh;2;2_Traitement;Calcul des flux de GES avec EddyPro et formatage des fichiers brutes au format ICOS;sh;1/30min;variable;FluxEddypro_eddycovariance;csv;[code_site]/[code_station]/eddycovariance/2_TRAITEMENT/
ges;eddycovariance;eddycovariance_sh;3;3a_Integration;Formatage du fichier au format SNOT et integration des données dans la BDD du SI SNO-T;sh;1/30min;variable;SNOT_eddycovariance;csv;[code_site]/[code_station]/eddycovariance/3_SNOT_eddycovariance/
ges;eddycovariance;;3;3b_ICOS;Stockage des fichiers brutes ICOS et envoi des fichiers vers ICOS;;1/0.05secondes;24h;ICOS_eddycovariance;csv;[code_site]/[code_station]/eddycovariance/3_ICOS_eddycovariance/
ges;chambreco2;;1;1_Collecte;Collecte des données brutes en sortie d’un capteur de type Vaisala;;1/10secondes;;BRUTE_chambreCO2;m70;[code_site]/[code_station]/chambreco2/1_BRUTE_chambreco2/
ges;chambreco2;;2;2_Traitement;"Calcul des flux de CO2; de la production primaire et formatage du fichier avec un ensemble de scripts R";;1/4mois;;SNOT_chambreCO2;xlsx;[code_site]/[code_station]/chambreco2/2_TRAITEMENT_chambreco2/
ges;chambreco2;chambreco2_infraj;3;3_Integration;Intégration des données de chambre CO2 dans le SI;infraj;1/4mois;;SNOT_chambreCO2;csv;[code_site]/[code_station]/chambreco2/3_SNOT_chambreco2/
meteosol;meteosol;;1;1_Collecte;Collecte de l’ensemble des données brutes sur une station météo-sol (BM);;1/60secondes;24h;BRUTE_meteosol;csv;[code_site]/[code_station]/meteosol/1_BRUTE_meteosol/
meteosol;meteosol;;2;2_Traitement;Calcul des valeurs semi-horaire + contrôle qualité;sh;1/30min;24h;TRAITEMENT_meteosol;csv;[code_site]/[code_station]/meteosol/2_TRAITEMENT_meteosol/
meteosol;meteosol;;2;3a_ICOS;Mise en forme du fichier pour l’envoi vers ICOS. Etape temporaire avant la mise en forme automatique par la station;;1/60secondes;24h;ICOS_meteosol;csv;[code_site]/[code_station]/meteosol/3_ICOS_meteosol/
meteosol;meteosol;meteosol_sh;3;3b_Integration;Formatage du fichier au format SNOT et integration des données meteosol dans la BDD du SI SNO-T;sh;1/30min;variable;SNOT_meteosol;csv;[code_site]/[code_station]/meteosol/3_SNOT_meteosol/
biogeo;docpoc;;1;1_Collecte;Collecte d'échantillon à la tourbière et des données de fluorescence semi-horaire + analyse au laboratoire avec le Shimatzu du carbone organique dissous;infraj;;variable;BRUTE_doc;csv;[code_site]/[code_station]/docpoc/1_BRUTE_docpoc/
biogeo;docpoc;;2;2_Traitement;Extrapolation semi-horaire du doc avec les valeurs de fluorescence et calcul du flux semi-horaire avec les valeurs de débit à l’exutoire;infraj;1/30min;variable;TRAITEMENT_FluoMO;exel;[code_site]/[code_station]/docpoc/2_TRAITEMENT_docpoc/
biogeo;docpoc;docpoc_infraj;3;3_Integration;Formatage du fichier au format SNOT et integration des données docpoc dans la BDD du SI SNO-T;infraj;1/30min;variable;SNOT_doc;csv;[code_site]/[code_station]/docpoc/3_SNOT_docpoc/
hydrocarto;piezo;;1;1_Collecte;Collecte et stockage des données brutes des données piézométriques pour chacun des sites;infraj;1/30min ou 1/60min;variable;BRUTE_piezo;variable;[code_site]/[code_station]/piezo/1_BRUTE_piezo/
hydrocarto;piezo;piezo_infraj;2;2_Traitement;Compilation, vérification des données et calcul des variables cibles (WTD et TW);infraj;1/30min ou 1/60min;variable;TRAITEMENT_piezo;variable;[code_site]/[code_station]/piezo/2_TRAITEMENT_piezo/
hydrocarto;piezo;piezo_infraj;3;3_Integration;Integration des données de débit et de hauteur de la nappe dans la BDD du SI SNO-T;infraj;1/30min ou 1/60min;variable;SNOT_piezo;csv;[code_site]/[code_station]/piezo/3_SNOT_piezo/
hydrocarto;debitmanuel;;1;1_Collecte;;sh;1/30min;variable;debit_manuel;;
hydrocarto;debitmanuel;;2;2a_Traitement;;sh;1/30min;;;;
hydrocarto;debitmanuel;;2;2b_Traitement;;sh;1/30min;;;;
hydrocarto;debitmanuel;;3;3_Integration;;sh;1/30min;;;;
