code_themedonnees;code_typedonnees;code_typefichier;Description
hydrocarto;piezo;BRUTE_piezoauto;
hydrocarto;piezo;TRAITEMENT_piezoauto;
hydrocarto;piezo;SNOT_piezoauto;
hydrocarto;piezo;OZCAR_piezoauto;
hydrocarto;debit;BRUTE_debitmanuel;
hydrocarto;debit;TRAITEMENT_debitmanuel;
hydrocarto;debit;SNOT_debitmanuel;
hydrocarto;debit;OZCAR_debitmanuel;
ges;eddycovariance;BRUTE_eddycovariance;Type de fichier en sortie d’une station eddycovariance LICOR
ges;eddycovariance;ICOS_eddycovariance;Type de fichier des données BRUTEs eddycovariance respectant les recommandation ICOS
ges;eddycovariance;TRAITEMENT_eddycovariance;Traitements réalisés avec EddyPro et expertise
ges;eddycovariance;SNOT_eddycovariance;Type de fichier d’entrée dans le SI SNO-T
ges;eddycovariance;OZCAR_eddycoriance;Type de fichier pour le partage avec le SI Theia/OZCAR
ges;chambreco2;BRUTE_chambreco2;Données brutes en sortie des chambres CO2
ges;chambreco2;TRAITEMENT_chambreco2;Données issues du traitement par expertise des données BRUTEs des chambres CO2
ges;chambreco2;SNOT_chambreco2;Type de fichier d’entrée dans le SI SNO-T pour les données de chambreCO2
ges;chambrech4;BRUTE_chambrech4;Données brutes en sortie des chambres CH4
ges;chambrech4;TRAITEMENT_chambrech4;Données issues du traitement par expertise des données BRUTEs des chambres CH4
ges;chambrech4;SNOT_chambrech4;Type de fichier d’entrée dans le SI SNO-T pour les données de chambreCH4
meteosol;meteosol;BRUTE_meteosol;Type de fichier brute en sortie d’une station météosol
meteosol;meteosol;ICOS_meteosol;Type de fichier météosol respectant les recommandations ICOS
meteosol;meteosol;TRAITEMENT_meteosol;Traitement des données météosol avant intégration dans le SI
meteosol;meteosol;SNOT_meteosol;Type de fichier d’entrée dans le SI SNO-T pour les données météo-sol
meteosol;meteosol;OZCAR_meteosol;Type de fichier météo-sol  pour le partage avec le SI Theia/OZCAR
biogeo;biogeomanuel;BRUTE_biogeomanuel;
biogeo;biogeomanuel;TRAITEMENT_biogeomanuel;
biogeo;biogeomanuel;SNOT_biogeomanuel;
biogeo;biogeomanuel;OZCAR_biogeomanuel;
biogeo;biogeofluo;BRUTE_biogeofluo;
biogeo;biogeofluo;TRAITEMENT_biogeofluo;
biogeo;biogeofluo;SNOT_biogeofluo;
biogeo;biogeofluo;OZCAR_biogeofluo;
bioveg;rec;BRUTE_rec;
bioveg;rec;TRAITEMENT_rec;
bioveg;rec;SNOT_rec;
bioveg;rec;OZCAR_rec;
bioveg;gai;BRUTE_gai;
bioveg;gai;TRAITEMENT_gai;
bioveg;gai;SNOT_gai;
bioveg;gai;OZCAR_gai;
